Month,Month Ending,Duration,Monthly Planned %,Monthly Actual %,Accumulative Planned %,Accumulative Actual %
4/26/2026,4/30/2026,30,0.047,0.047,0.047,0.047
5/26/2026,5/31/2026,61,0.047,0.047,0.094,0.094
6/26/2026,6/30/2026,91,0.047,0.047,0.141,0.141
7/26/2026,7/31/2026,122,0.053,0.053,0.194,0.194
8/26/2026,8/31/2026,159,0.061161905,,0.255161905,
9/26/2026,9/30/2026,189,0.053714286,,0.30887619,
10/26/2026,10/31/2026,220,0.055504762,,0.364380952,
11/26/2026,11/30/2026,250,0.053714286,,0.418095238,
12/26/2026,12/31/2026,281,0.055504762,,0.4736,
1/27/2027,1/31/2027,312,0.055504762,,0.529104762,
2/27/2027,2/28/2027,340,0.050133333,,0.579238095,
3/27/2027,3/31/2027,371,0.055504762,,0.634742857,
4/27/2027,4/30/2027,401,0.053714286,,0.688457143,
5/27/2027,5/31/2027,432,0.055504762,,0.743961905,
6/27/2027,6/30/2027,462,0.053714286,,0.79767619,
7/27/2027,7/31/2027,493,0.055504762,,0.853180952,
8/27/2027,8/31/2027,524,0.055504762,,0.908685714,
9/27/2027,9/30/2027,554,0.053714286,,0.9624,
10/27/2027,10/31/2027,585,0.0376,,1,
